well_a,well_b,min_xy_dist_ft,sample_min_xy_dist_ft,global_angle_deg,eval_angle_deg,local_angle_at_closest_deg,a_md,b_md,a_closest_idx,b_closest_idx,a_x,a_y,b_x,b_y,a_length_ft,b_length_ft,a_eval_start_idx,a_eval_end_idx,b_eval_start_idx,b_eval_end_idx,a_start_x,a_start_y,a_end_x,a_end_y,b_start_x,b_start_y,b_end_x,b_end_y,a_rows_within_250ft,b_rows_within_250ft,min_rows_within_250ft,a_max_run_within_250ft,b_max_run_within_250ft,min_max_run_within_250ft,a_rows_within_500ft,b_rows_within_500ft,min_rows_within_500ft,a_max_run_within_500ft,b_max_run_within_500ft,min_max_run_within_500ft,a_rows_within_1000ft,b_rows_within_1000ft,min_rows_within_1000ft,a_max_run_within_1000ft,b_max_run_within_1000ft,min_max_run_within_1000ft
0dd99dc5,276b012a,212.8723302827778,212.8723302827778,171.98637481674933,172.0867814817092,140.73575328882063,11875.0,12075.0,0,0,3008856.68,1074084.5,3008735.87,1073909.23,8645.972724598521,5989.192640089203,1840,9181,1454,6290,3008856.68,1074084.5,3004595.84,1081607.67,3008735.87,1073909.23,3012385.11,1069160.18,476,268,268,476,268,268,889,669,669,889,669,669,1416,1206,1206,1416,1206,1206
310c71a5,4654e7de,213.99357794093424,214.04770729906508,178.5419751684741,177.64028549507597,128.5826473230854,10515.0,11853.0,0,1121,2907298.67,1032190.03,2907464.34,1032325.48,6497.176126595119,6642.247508456801,1743,6987,1637,7009,2907298.67,1032190.03,2903040.49,1037097.29,2906951.58,1032888.3,2911431.08,1027983.86,1227,1250,1227,1227,1250,1227,1659,1568,1568,1659,1568,1568,2201,2088,2088,2201,2088,2088
5def1ce5,cdc60a53,215.34440740343985,215.36978734257988,178.63248727734492,179.46384654833466,179.55226516162838,10758.0,13768.0,148,3253,2906205.09,1036970.41,2906042.56,1036829.14,7589.48777884925,7122.335454975451,1554,7996,1753,7630,2906205.48,1036973.65,2911263.45,1031315.27,2907832.98,1034740.78,2903214.42,1040162.64,641,407,407,641,407,407,3545,3711,3545,3545,3711,3545,4102,4235,4102,4102,4235,4102
12203f2a,7cbbd047,218.8340087829172,218.8515569967651,154.8796417448433,154.5723111659988,121.07903963250853,11124.0,11376.0,0,190,3014909.2,1114047.67,3015125.45,1114081.2,4450.589122678129,6276.279671150615,1730,4990,1669,6789,3014909.2,1114047.67,3013788.78,1118354.92,3015129.85,1114077.4,3019139.04,1109248.52,524,427,427,524,427,427,956,835,835,956,835,835,1486,1364,1364,1486,1364,1364
460f859e,5cdd8dbc,220.24942088476487,220.33944177102867,176.74179902055909,179.8117019455262,171.20199649577722,10668.0,11607.0,208,1105,2913098.11,1041975.09,2913238.06,1042145.16,4478.858353308407,5150.603981825638,1646,4981,1741,5750,2913099.09,1041972.81,2915980.42,1038543.8,2913703.26,1041861.43,2910171.02,1045610.03,584,260,260,584,260,260,1274,1563,1274,1274,1563,1274,1897,2079,1897,1897,2079,1897
01982c1d,ee288beb,220.8324835706792,221.08367872802827,179.5675737297351,179.64987735189044,179.8560759079435,11724.0,15002.0,1703,4882,2995905.39,1123139.67,2996118.12,1123198.94,5085.783873996138,5680.016110540507,1646,5586,1552,6189,2996249.89,1121981.57,2994734.18,1126836.24,2994891.45,1127399.97,2996543.29,1121965.45,2519,2481,2481,1437,1431,1431,5587,5655,5587,5587,5655,5587,5587,6190,5587,5587,6190,5587
3bfee975,ed6436d6,222.9526194060154,223.15932649090985,179.9000853607131,179.91513025320813,179.94406829460124,13678.0,14697.0,2086,3499,3001003.09,1088688.53,3000795.05,1088608.36,4785.82581531157,4396.668303181442,1485,5087,2082,5026,3000380.78,1090364.59,3002069.7,1085886.68,3001779.24,1085910.93,3000234.83,1090027.42,1319,1315,1315,1319,1315,1315,5088,5027,5027,5088,5027,5027,5088,5027,5027,5088,5027,5027
153552f5,c2c6fc71,223.63836880103543,223.63873412288683,171.3063752743251,171.21864253277806,157.73291108616823,11249.0,11388.0,0,4,3003739.07,1090107.02,3003952.03,1090038.74,5947.420052333311,8369.117184625973,1803,6497,1721,8839,3003739.07,1090107.02,3000232.74,1094910.92,3003952.04,1090038.77,3009851.18,1084102.25,408,305,305,408,305,305,837,717,717,837,717,717,1357,1261,1261,1357,1261,1261
d543916f,d60430e6,223.85545738299467,224.16682827777447,179.2550875856279,173.7041691390881,170.32215156118838,13190.0,14708.0,2787,4175,2992495.57,1117753.29,2992715.7,1117793.96,5925.371204456429,3748.143883097292,1482,6280,1665,4175,2991722.49,1120073.61,2993226.14,1114342.2,2993713.9,1114181.18,2992715.7,1117793.96,286,155,155,286,155,155,3377,3349,3349,2956,2502,2502,4462,4176,4176,4462,4176,4176
bf70b410,f8afa78a,226.26182819891045,226.27954127577365,179.60719629022833,179.71869921792043,142.58389150881084,10288.0,11179.0,0,677,2886676.03,1022118.91,2886497.85,1021979.46,7498.256224409531,7063.46538730838,1653,7999,1335,7366,2886676.03,1022118.91,2881601.93,1027639.54,2886250.78,1022271.53,2890994.89,1017038.37,480,247,247,480,247,247,1348,1145,1145,1348,1145,1145,1875,1672,1672,1875,1672,1672
1590af81,1a730ac2,228.27294473970812,228.31596921832596,179.1753046110615,179.50999981121342,175.74682693607707,16549.0,11884.0,5230,629,2989276.03,1094703.45,2989486.06,1094792.87,5014.349640661257,5863.186025984523,1432,5230,1444,6048,2991057.51,1090016.23,2989276.03,1094703.45,2989303.18,1095213.07,2991464.9,1089762.94,1206,1249,1206,689,681,681,5231,6016,5231,5231,6016,5231,5231,6049,5231,5231,6049,5231
1bcb2fcf,ac6f01d5,229.0944853112567,229.12623245722685,178.16879137887668,178.86956179003872,67.00466654720357,11933.0,11832.0,196,195,3014787.07,1094173.79,3014802.71,1093945.23,5692.110927608454,6145.419612199024,1678,6201,1725,6728,3014777.81,1094182.83,3012776.3,1099511.44,3014806.27,1093943.24,3017149.91,1088262.26,352,414,352,352,414,352,753,825,753,753,825,753,1261,1343,1261,1261,1343,1261
a247e7cf,beda8696,230.13347453166983,230.29086065221605,179.23865689551565,179.45369630439978,149.33511825174338,10938.0,10173.0,561,0,2887634.41,1023135.37,2887466.85,1022977.62,6860.869622497032,7325.588306648154,1563,7236,1956,7867,2887484.07,1023287.05,2892140.12,1018247.93,2887466.85,1022977.62,2882424.37,1028291.53,679,789,679,679,789,679,1035,1178,1035,1035,1178,1035,1563,1722,1563,1563,1722,1563
19fb4f7b,ab18d3fc,232.31907390473245,232.31907390473245,168.4607938210384,168.27535476834726,174.04362869299294,19618.0,18912.0,7922,7336,3013125.52,1086704.58,3013143.27,1086936.22,7124.152976824628,6829.180451635495,2303,7922,1643,7336,3016608.38,1080489.82,3013125.52,1086704.58,3008680.38,1092105.39,3013143.27,1086936.22,22,23,22,22,23,22,291,305,291,291,305,291,799,822,799,799,822,799
10a1281a,373ef48b,235.95243588479173,235.9737205710237,177.8900123769283,178.23411675564716,179.64011517802862,11053.0,11396.0,456,599,2904278.3,1026965.55,2904439.78,1027137.59,6874.020940970427,4712.863842569529,1744,7352,1483,4991,2904336.64,1026905.39,2899861.89,1032123.51,2904213.89,1027398.68,2907411.44,1023936.49,680,324,324,680,324,324,1354,1126,1126,1354,1126,1126,1895,1675,1675,1895,1675,1675
3ef98781,b85f7b06,236.66829213058844,236.67638369690417,179.56277065029738,179.62602018562808,176.4082211673357,11452.0,11382.0,177,122,3012159.13,1115414.36,3011927.86,1115364.1,5055.338546299344,5050.844166275567,1451,5342,1650,5452,3012168.31,1115377.46,3012051.55,1120431.45,3011927.04,1115363.2,3012005.16,1110312.96,309,335,309,309,335,309,716,794,716,716,794,716,1248,1339,1248,1248,1339,1248
729e9750,d9eca87b,238.7475455372023,238.79491535631183,179.51531921465676,179.67906633595862,139.60545461038114,10444.0,11240.0,0,995,2886575.16,1022717.07,2886754.99,1022874.11,7104.335159105255,7435.705628176633,1508,7426,1559,7931,2886575.16,1022717.07,2891381.39,1017485.27,2887109.11,1022510.66,2882032.56,1027943.74,384,382,382,230,238,230,1248,1437,1248,1248,1437,1248,1789,1972,1789,1789,1972,1789
9d072e4c,f40cd091,238.9809023750445,239.1190297739176,173.92883029741088,176.48132588247094,155.5609771719105,12321.0,11378.0,1059,0,3000484.71,1101796.26,3000263.77,1101705.17,6532.455022891409,6432.283006499436,1691,6797,1610,6775,3000251.43,1102569.96,3002200.37,1096335.01,3000263.77,1101705.17,2997706.16,1107607.11,142,169,142,142,169,142,1340,1011,1011,1340,1011,1011,2057,1977,1977,2057,1977,1977
367456ce,fae0c593,241.04837688706505,241.05816808397483,178.1916457833404,178.1188183328792,111.66428668439552,10301.0,10527.0,0,292,2994968.11,1121737.55,2994730.35,1121697.87,6805.733252310218,5595.461495399732,1743,7311,1744,6146,2994968.11,1121737.55,2997282.57,1115337.45,2994732.55,1121686.2,2992996.67,1127005.59,447,446,446,447,446,446,913,959,913,913,959,913,1436,1488,1436,1436,1488,1436
739a914f,8ac2f237,242.81743615316236,243.11735478959,176.2010627029279,178.1913118710313,48.92668307117213,12236.0,11044.0,1564,2,3008996.56,1116468.22,3008754.33,1116485.1,6628.683788822584,6435.867723096994,1814,7318,1456,6774,3009261.66,1117336.97,3008766.85,1110726.78,3008754.33,1116485.16,3008808.47,1122920.8,149,323,149,149,323,149,2002,1293,1293,2002,1293,1293,2529,2055,2055,2529,2055,2055
ab94878e,c9e6734f,244.43476614445456,244.43476614445456,178.51974115417667,178.3509578812127,176.85414487680822,10417.0,10600.0,0,0,2939991.51,1058906.07,2940234.21,1058877.0,7132.689538315597,6082.933424097373,1648,7651,1653,6387,2939991.51,1058906.07,2935373.71,1064342.17,2940234.21,1058877.0,2944290.83,1054344.24,272,25,25,272,25,25,787,552,552,787,552,552,1313,1107,1107,1313,1107,1107
2e43c2ea,4a335117,244.64619289897303,244.98162482141416,179.9057561066853,179.84418697978,179.9898403965111,17439.0,11182.0,7001,986,2912826.1,1048489.98,2913016.04,1048644.17,6797.516712925476,6190.512865490306,1651,7348,1712,6726,2916948.48,1043528.2,2912606.04,1048757.87,2912761.4,1049034.58,2916708.23,1044265.41,260,249,249,260,249,249,6521,6727,6521,6521,6727,6521,7349,6727,6727,7349,6727,6727
c9e6734f,ff8bb73a,246.41405033004008,246.41405033004008,179.0322913940134,178.65238753017454,132.98406703960046,10600.0,10442.0,0,0,2940234.21,1058877.0,2940254.1,1059122.61,6082.933424097373,7144.055626274249,1653,6387,1743,7669,2940234.21,1058877.0,2944290.83,1054344.24,2940254.1,1059122.61,2935580.42,1064525.78,17,161,17,17,161,17,559,797,559,559,797,559,1104,1325,1104,1104,1325,1104
1fdbba44,9f0c7bae,247.7797913470171,247.7797913470171,153.095667035653,152.84009060016285,144.43673927961876,12425.0,12573.0,0,0,2949996.87,1015277.19,2949990.2,1015029.5,6095.121351679558,3874.160648772863,1422,6332,1498,4039,2949996.87,1015277.19,2947150.93,1020667.1,2949990.2,1015029.5,2950053.1,1011155.85,14,6,6,14,6,6,489,398,398,489,398,398,1004,913,913,1004,913,913
5bd25f59,65a5466a,249.68019545038223,249.68358476295532,151.83466428879157,151.440647625066,125.18003708584811,11039.0,10402.0,1176,0,2998468.95,1127990.84,2998301.23,1127805.88,5507.915325892467,5796.944434924329,1910,6119,1434,6116,2998878.2,1127584.36,2994828.06,1131317.12,2998301.23,1127805.88,3000204.77,1122330.38,26,11,11,26,11,11,1607,859,859,1607,859,859,2143,1591,1591,2143,1591,1591
357c12f9,8c167025,249.87899991770416,249.90131432244092,176.63792594551992,176.54562898727173,2.2342528944396878,10334.0,10434.0,197,168,2940924.72,1064285.89,2941140.57,1064411.78,5200.176757091698,6605.5737199733385,1691,5769,1745,7112,2940925.86,1064281.12,2937744.89,1068394.91,2941142.83,1064409.76,2945482.99,1059430.14,93,94,93,93,94,93,971,895,895,971,895,895,1507,1428,1428,1507,1428,1428
729e9750,bf70b410,250.9014796687621,250.9281494769502,179.98573916540067,179.79001699816124,179.9826730438524,10894.0,11091.0,450,803,2886683.29,1022580.69,2886513.04,1022396.39,7104.335159105255,7498.256224409531,1508,7426,1653,7999,2886575.16,1022717.07,2891381.39,1017485.27,2886676.03,1022118.91,2881601.93,1027639.54,0,0,0,0,0,0,1208,1379,1208,1208,1379,1208,1771,1945,1771,1771,1945,1771
c59b6c4a,fa16d114,252.27640099668469,252.27640099668469,179.91054470409918,179.01561417495452,100.8699837029508,9984.0,10669.0,0,0,2888026.24,1024194.07,2888205.32,1024016.38,6838.37910859737,6819.321763379618,1961,7459,1242,6927,2888026.24,1024194.07,2883249.24,1029087.3,2888205.32,1024016.38,2892976.62,1019144.23,0,0,0,0,0,0,817,332,332,817,332,332,1359,849,849,1359,849,849
3e011332,fcfcc902,259.1077308765527,259.1077308765527,176.40717794585242,179.97519132634858,175.2163286675845,15399.0,15288.0,4841,4664,2984883.78,1089198.28,2984891.59,1089457.27,4093.4002986272103,3996.437456860697,2119,4841,1874,4664,2986357.06,1085379.2,2984883.78,1089198.28,2983222.38,1093088.42,2984891.59,1089457.27,0,0,0,0,0,0,255,251,251,255,251,251,763,760,760,763,760,760
02e7fe5a,f88ddb26,260.32390228325846,260.36256662548544,179.66105602392173,179.76896715364265,179.89753127942748,14440.0,15669.0,2965,4331,2985920.88,1061028.1,2985660.67,1061020.4,6338.2245117145885,6109.798342416895,1780,6887,1595,6584,2985897.41,1058610.08,2985954.21,1064948.05,2985644.93,1064879.98,2985626.32,1058770.21,0,0,0,0,0,0,6888,6585,6585,6888,6585,6585,6888,6585,6585,6888,6585,6585
8bda1a11,beda8696,266.59305936213013,266.6158856859185,179.44332982367916,179.5428612176723,179.93787332334122,10842.0,11048.0,396,875,2887033.1,1023007.58,2887211.97,1023205.26,7121.092570139621,7325.588306648154,1457,7437,1956,7867,2886927.71,1023108.87,2891779.01,1017895.92,2887466.85,1022977.62,2882424.37,1028291.53,0,0,0,0,0,0,1173,1420,1173,1173,1420,1173,1725,1961,1725,1725,1961,1725
bd4ae5da,c9e980e8,267.09790433480464,267.1699513418549,178.94207094189778,179.21666860669396,179.75009006147778,16787.0,12532.0,5786,1786,3008348.92,1115454.41,3008082.09,1115466.37,6253.065035788374,5620.777824936577,1899,6904,1903,6261,3008143.3,1110322.07,3008426.03,1116568.74,3008125.42,1116617.17,3007767.65,1111007.79,0,0,0,0,0,0,5942,6262,5942,5942,6262,5942,6905,6262,6262,6905,6262,6262
30d75030,3aaa2b30,268.39587049753595,268.41786863043444,172.85260395674973,175.7775380631836,168.62111545915582,15586.0,12240.0,5008,1821,2991714.42,1118597.6,2991975.49,1118659.88,4744.255146395622,6029.194102672382,1605,5008,1685,6395,2992012.21,1113862.7,2991714.42,1118597.6,2991484.34,1120062.5,2992608.53,1114139.04,0,0,0,0,0,0,3318,3783,3318,3318,3783,3318,5009,5566,5009,5009,5566,5009
43c7f85a,f2d4c8c9,270.2211068739325,270.243709640085,179.06068523554902,179.42709242603215,179.98910638141064,10948.0,10913.0,519,529,2885970.49,1021762.96,2885768.28,1021583.71,7164.986794300557,7506.568198671069,1506,7483,1659,7907,2885816.29,1021929.64,2890532.64,1016535.84,2885861.33,1021453.59,2880828.16,1027022.77,0,0,0,0,0,0,1118,1167,1118,1118,1167,1118,1663,1726,1663,1663,1726,1663
0dc835f3,367456ce,271.9800773953144,271.9800773953144,178.75924165582336,178.76993358454183,115.69313488401195,10658.0,10301.0,0,0,2994854.75,1121984.78,2994968.11,1121737.55,5224.065777610338,6805.733252310218,851,5278,1743,7311,2994854.75,1121984.78,2993184.97,1126934.8,2994968.11,1121737.55,2997282.57,1115337.45,0,0,0,0,0,0,259,697,259,259,697,259,772,1221,772,772,1221,772
2b06ad65,877ed19c,272.18854586478056,272.1887995489637,178.3101572517724,178.23966862369429,22.391985876969425,11275.0,11125.0,0,137,3011810.14,1115425.28,3012067.12,1115335.57,5459.600234449329,5040.269735887232,1450,5705,1923,5630,3011810.14,1115425.28,3011674.7,1120883.2,3012065.98,1115332.04,3012339.55,1110299.2,0,0,0,0,0,0,565,883,565,565,883,565,1113,1441,1113,1113,1441,1113
7acda2df,f4d12d23,273.3932341882161,273.46051360300066,177.70505368962793,179.32325839346433,179.72208965818098,11688.0,14569.0,1038,4092,2915860.55,1042973.41,2915652.81,1042795.68,4229.725757469197,4897.39325022011,1461,4551,1747,5447,2915565.12,1043659.96,2918148.07,1040310.49,2917911.97,1040066.25,2914768.4,1043821.57,0,0,0,0,0,0,4552,4978,4552,4552,4978,4552,4552,5448,4552,4552,5448,4552
861e71df,da940160,277.29590566736863,277.3071403699424,175.82868284775105,175.0832063864433,165.72337171669332,10776.0,11678.0,3,901,3007309.17,1116754.2,3007031.89,1116757.17,5762.5805064224905,6238.927720377919,1584,6283,1660,6791,3007309.18,1116754.23,3006738.67,1111019.96,3006996.2,1116392.68,3007160.65,1122629.44,0,0,0,0,0,0,1265,1315,1265,1265,1315,1265,1839,1866,1839,1839,1866,1839
722cf0d8,eac10e86,277.9585987155078,277.9632443327833,179.17128800967373,179.6146070369869,123.02174038524645,10530.0,10521.0,504,0,2889505.11,1025905.57,2889314.12,1025703.62,6669.763625864011,7205.0677911660205,2132,7274,1434,7500,2889590.54,1025829.33,2884875.22,1030546.48,2889314.12,1025703.62,2894333.65,1020534.74,0,0,0,0,0,0,1098,744,744,1098,744,744,1660,1337,1337,1660,1337,1337
8bda1a11,d9eca87b,279.06772869698494,279.1644957726529,179.88497594594983,179.8750944095948,179.1723484672045,11254.0,10665.0,808,420,2887278.06,1022751.18,2887073.42,1022561.44,7121.092570139621,7435.705628176633,1457,7437,1559,7931,2886927.71,1023108.87,2891779.01,1017895.92,2887109.11,1022510.66,2882032.56,1027943.74,0,0,0,0,0,0,1285,1467,1285,1285,1467,1285,1831,2013,1831,1831,2013,1831
4936af16,d0a0e7b5,279.1644835932621,279.443037666334,179.71997596185457,179.5987477081593,179.96152250751933,11342.0,15600.0,932,4954,2990821.03,1119597.19,2990542.98,1119572.27,5201.742990008285,5139.048762893827,1568,5558,1607,5422,2990829.81,1120179.45,2991103.46,1114984.91,2990783.75,1114906.27,2990488.32,1120036.82,0,0,0,0,0,0,5559,5423,5423,5559,5423,5423,5559,5423,5423,5559,5423,5423
3df4b19e,bd6f0e19,279.2968773545824,279.4073744551995,178.34568978137574,179.27281570595278,179.95410073544488,17216.0,12058.0,6366,1463,3006156.0,1122315.91,3005876.71,1122313.95,6174.827059748288,6455.528022539988,1670,6657,1839,6978,3006021.62,1116433.42,3006162.05,1122606.65,3005988.13,1123257.02,3005655.06,1116810.09,0,0,0,0,0,0,6247,6289,6247,6247,6289,6247,6658,6979,6658,6658,6979,6658
739a914f,9b9e3b49,280.48257343351776,280.72722650255383,178.38951500669168,179.38861793114302,179.990512920132,12228.0,17953.0,1556,6809,3008997.11,1116476.2,3008717.33,1116496.04,6628.683788822584,6300.552131884926,1814,7318,1757,6874,3009261.66,1117336.97,3008766.85,1110726.78,3008427.3,1110267.23,3008720.85,1116560.94,0,0,0,0,0,0,6221,6310,6221,6221,6310,6221,7319,6875,6875,7319,6875,6875
b95e7121,be063506,281.05904166205426,281.05904166205426,174.99295022988866,175.29489118012015,177.0768790137958,18292.0,17530.0,7491,6538,3000287.3,1108889.52,3000338.1,1108613.09,7232.109626415966,6020.005225886474,1186,7491,2039,6538,2998196.76,1115812.89,3000287.3,1108889.52,3002574.61,1103023.95,3000338.1,1108613.09,0,0,0,0,0,0,221,222,221,221,222,221,723,724,723,723,724,723
e149204f,f2d4c8c9,283.2141069934132,283.21925164105687,178.6172222110523,178.96601667387066,110.27045254790116,10483.0,11236.0,0,852,2885352.3,1021575.58,2885542.9,1021785.06,7247.1878823239,7506.568198671069,1452,7548,1659,7907,2885352.3,1021575.58,2890080.39,1016083.14,2885861.33,1021453.59,2880828.16,1027022.77,0,0,0,0,0,0,1098,1248,1098,1098,1248,1098,1672,1790,1672,1672,1790,1672
c2c4db09,cbe62450,285.7908231558993,286.0047726873387,178.65391207996169,178.9186638072554,174.51536854354623,11755.0,10695.0,1160,91,2995811.27,1114434.14,2996076.72,1114540.03,7458.938708858213,7522.573349678902,1812,7850,1600,7857,2995539.8,1115168.82,2998194.85,1108198.42,2996079.6,1114535.34,2993567.78,1121626.17,0,0,0,0,0,0,1574,1481,1481,1574,1481,1481,2131,2052,2052,2131,2052,2052
aaeffccb,ba48188d,286.3117086324924,286.31205912450326,178.49146309007685,178.02173061112703,175.43069491693214,15929.0,15993.0,4585,4027,3009234.79,1088068.88,3009462.75,1088242.11,3947.0629541596822,5275.891225461355,1874,4585,1368,5533,3006733.14,1091121.92,3009234.79,1088068.88,3011773.22,1085258.47,3008537.95,1089425.97,0,0,0,0,0,0,1871,1921,1871,1871,1921,1871,2440,2468,2440,2440,2468,2440
5542c301,9896fc0b,288.2448030754445,288.2563430350821,177.8813332839268,177.90141491290925,158.21674988962445,10379.0,10470.0,255,0,2929205.1,1056032.68,2929035.86,1055799.35,4782.9224764049895,4756.503984745793,1842,5432,1514,5108,2929211.21,1056030.78,2925959.29,1059538.11,2929035.86,1055799.35,2932138.66,1052194.22,0,0,0,0,0,0,998,691,691,998,691,691,1553,1244,1244,1553,1244,1244
dc7f9757,f72b268f,292.684434160718,292.684434160718,179.85651812934523,179.06760444461082,172.41672853274457,16679.0,18056.0,6202,7917,3003914.17,1128588.77,3004048.03,1128849.05,5636.236475033719,7444.516178134107,1843,6202,1514,7917,3003740.17,1122955.22,3003914.17,1128588.77,3004259.22,1136290.57,3004048.03,1128849.05,0,0,0,0,0,0,225,218,218,225,218,218,733,727,727,733,727,727
1aaf1da0,6dbe4b60,293.3722580615505,293.3722580615505,158.06704171033005,158.8697148848392,158.5075973675041,17690.0,17461.0,6320,6672,3004739.06,1110654.64,3004845.89,1110927.87,5835.320754414367,6137.639849094888,1517,6320,2025,6672,3006646.69,1105139.94,3004739.06,1110654.64,3005151.23,1117057.91,3004845.89,1110927.87,0,0,0,0,0,0,238,212,212,238,212,212,755,720,720,755,720,720
1e30dedf,9a6b0392,294.09342138196456,294.11534404052026,152.0508484067469,151.97601810063642,117.03824131405936,10480.0,10113.0,155,0,2997437.64,1127765.43,2997231.78,1127555.4,5368.016315027349,5436.205020094431,1403,5473,1547,5801,2997516.11,1127688.92,2993563.11,1131320.64,2997231.78,1127555.4,2999044.31,1122430.26,0,0,0,0,0,0,624,704,624,624,704,624,1170,1276,1170,1170,1276,1170
05a0ee4d,8cc800b3,294.9023501092294,294.9023501092294,176.77706527473865,176.99842943019274,176.87651904757135,17067.0,18601.0,6097,8090,2992517.01,1105683.34,2992582.45,1105970.89,5578.52683134203,7719.2895033805025,1750,6097,1515,8090,2994585.45,1100502.46,2992517.01,1105683.34,2989321.72,1112967.68,2992582.45,1105970.89,0,0,0,0,0,0,231,236,231,231,236,231,744,752,744,744,752,744
3e011332,b37fd114,297.5960525612661,297.59946790949505,179.42541209128936,179.2241716752237,59.249173949096885,10558.0,12698.0,0,1651,2986357.06,1085379.2,2986083.94,1085261.01,4093.4002986272103,9483.632707196082,2119,4841,1625,9785,2986357.06,1085379.2,2984883.78,1089198.28,2985573.67,1086524.7,2989075.54,1077711.29,0,0,0,0,0,0,2423,2042,2042,2423,2042,2042,3022,2594,2594,3022,2594,2594
7c607683,c6c96179,299.2697219899957,299.3944875910582,177.3964078666014,178.06947054908244,46.94321443881133,11126.0,10214.0,785,0,2908406.35,1038875.17,2908628.58,1039075.61,6430.130361555815,5219.747663488987,1673,7000,1809,5812,2908573.41,1038688.21,2904399.46,1043579.5,2908628.58,1039075.61,2912193.71,1035263.05,0,0,0,0,0,0,1221,1212,1212,1221,1212,1212,1780,1770,1770,1780,1770,1770
77e4821c,a85bb86f,303.5574774239519,303.5574774239519,172.28601591016346,172.4819897285597,177.19611658574456,10609.0,10113.0,0,0,2919369.19,1046743.23,2919544.44,1046991.09,6268.218779206842,4475.323766902254,1147,6539,2001,5099,2919369.19,1046743.23,2924166.87,1042709.27,2919544.44,1046991.09,2916536.63,1050304.94,0,0,0,0,0,0,607,934,607,607,934,607,1189,1503,1189,1189,1503,1189
925a7cd1,e161bd0c,304.22541790555783,304.22541790555783,172.27749367266154,172.2251434287505,141.88987780672016,11256.0,11456.0,0,0,3003404.4,1089977.65,3003204.2,1089748.58,5963.830501590427,4072.502960649443,1984,6500,1864,4812,3003404.4,1089977.65,2999865.54,1094778.04,3003204.2,1089748.58,3006039.34,1086825.01,0,0,0,0,0,0,842,1088,842,842,1088,842,1419,1655,1419,1419,1655,1419
5bd25f59,76201745,304.791135041637,304.79950869387324,153.90596094619363,152.09060706406513,150.7983028830121,10684.0,10165.0,821,0,2998702.34,1127778.95,2998491.96,1127558.41,5507.915325892467,5546.518833015934,1910,6119,1410,5857,2998878.2,1127584.36,2994828.06,1131317.12,2998491.96,1127558.41,3000501.43,1122388.7,0,0,0,0,0,0,1265,818,818,1265,818,818,1819,1383,1383,1819,1383,1383
3a0af893,a959858c,306.8083012241347,306.96228563139624,176.8966204108471,179.74432078388696,146.31340958926464,11968.0,16691.0,0,5615,3022261.73,1105388.24,3022047.84,1105168.28,4369.449848688034,4978.059434207162,1653,4579,1366,5769,3022261.73,1105388.24,3019518.64,1108789.35,3018829.08,1108762.4,3022159.44,1105062.43,0,0,0,0,0,0,3946,4152,3946,3348,3530,3348,4580,5770,4580,4580,5770,4580
2fd68f7b,ae8959c3,310.5633135128196,310.7091543550358,151.72424143622928,151.0673748876163,97.77033732643066,10074.0,11224.0,0,1391,2997404.6,1127840.23,2997612.91,1128070.57,5844.750879797963,5993.323190751526,1651,6380,2127,6644,2997404.6,1127840.23,2999343.73,1122326.53,2998178.62,1127577.07,2993749.14,1131614.35,0,0,0,0,0,0,934,932,932,934,932,932,1824,2333,1824,1824,2333,1824
0dc835f3,efde6ac3,312.2145765334353,312.38461501800026,178.74984876049038,179.0540725715874,175.42101504075123,10658.0,11094.0,0,765,2994854.75,1121984.78,2994562.08,1121876.05,5224.065777610338,5738.249387121568,851,5278,1661,6219,2994854.75,1121984.78,2993184.97,1126934.8,2994436.83,1122149.3,2996389.15,1116753.38,0,0,0,0,0,0,699,1151,699,699,1151,699,1278,1719,1278,1278,1719,1278
0dc835f3,d085e611,312.2145765334353,312.38461501800026,178.67843352777672,178.8974546362854,175.42101504075123,10658.0,11094.0,0,765,2994854.75,1121984.78,2994562.08,1121876.05,5224.065777610338,7368.783170008496,851,5278,1661,7851,2994854.75,1121984.78,2993184.97,1126934.8,2994436.83,1122149.3,2996952.54,1115223.25,0,0,0,0,0,0,699,1151,699,699,1151,699,1278,1719,1278,1278,1719,1278
1e5e3573,201661b5,313.66909713895694,313.66909713895694,179.6982092661478,179.74237625465946,174.04466448924634,18567.0,19800.0,7125,8135,3026576.7,1115099.95,3026654.02,1114795.96,6674.524882424305,7466.555124205464,1646,7125,2181,8135,3026652.01,1121774.05,3026576.7,1115099.95,3026609.1,1107329.54,3026654.02,1114795.96,0,0,0,0,0,0,190,191,190,190,191,190,698,694,694,698,694,694
76201745,ae8959c3,313.82760570078875,313.8293459826252,153.5889621744516,152.03893725423353,23.02284485360281,10165.0,9887.0,0,54,2998491.96,1127558.41,2998178.66,1127576.6,5546.518833015934,5993.323190751526,1410,5857,2127,6644,2998491.96,1127558.41,3000501.43,1122388.7,2998178.62,1127577.07,2993749.14,1131614.35,0,0,0,0,0,0,523,772,523,523,772,523,1092,1374,1092,1092,1374,1092
